epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.23617,1.33423,2.87058,1.64245,0.57454,0.85,0.87817,0.63489,1.64855,1.07041,1.38313,0,0,0
2,7.67058,1.20336,2.71842,1.51742,0.56593,0.85,0.8486,0.63183,1.64669,1.06023,1.37385,1.17822e-06,1.17822e-06,1.17822e-06
3,11.0753,1.1399,3.63001,1.55512,0.56072,0.85,0.85084,0.61618,1.66648,1.06082,1.37907,2.33288e-06,2.33288e-06,2.33288e-06
4,13.6265,1.28077,2.75598,1.39152,0.56143,0.85,0.84953,0.61587,1.66055,1.05359,1.37787,3.46397e-06,3.46397e-06,3.46397e-06
5,16.285,1.38515,3.07686,1.73671,0.56783,0.85,0.85527,0.62113,1.6591,1.03964,1.3751,4.5715e-06,4.5715e-06,4.5715e-06
6,19.5676,1.53471,4.1598,1.97731,0.54345,0.85,0.89361,0.62163,1.68946,1.06142,1.38012,5.65548e-06,5.65548e-06,5.65548e-06
7,22.5754,1.12367,1.87781,1.39789,0.53793,0.85,0.89343,0.62583,1.68208,1.06024,1.37727,6.71588e-06,6.71588e-06,6.71588e-06
8,25.4429,1.38034,4.01708,1.60909,0.54941,0.8598,0.85888,0.61278,1.64532,1.06019,1.35422,7.75273e-06,7.75273e-06,7.75273e-06
9,28.2525,1.1262,2.71393,1.41337,0.57127,0.86199,0.81825,0.59502,1.66864,1.0625,1.36554,8.76602e-06,8.76602e-06,8.76602e-06
10,31.2554,1.19332,3.50657,1.59629,0.58129,0.8622,0.81417,0.59543,1.66138,1.06382,1.35869,9.75574e-06,9.75574e-06,9.75574e-06
11,35.0252,1.21434,2.48622,1.45372,0.58851,0.86306,0.85596,0.61996,1.65826,1.06763,1.35856,1.07219e-05,1.07219e-05,1.07219e-05
12,38.9363,1.00329,2.02933,1.37886,0.58607,0.86337,0.85561,0.62084,1.66811,1.07946,1.36637,1.16645e-05,1.16645e-05,1.16645e-05
13,42.2826,0.86515,2.23535,1.13949,0.59522,0.86625,0.85489,0.62066,1.65616,1.07601,1.3586,1.25835e-05,1.25835e-05,1.25835e-05
14,45.5348,1.09388,2.21289,1.48547,0.59951,0.86667,0.888,0.62728,1.66024,1.10099,1.3614,1.3479e-05,1.3479e-05,1.3479e-05
15,48.3838,0.95686,1.64721,1.14317,0.60101,0.86667,0.8881,0.62735,1.65952,1.10841,1.36246,1.43509e-05,1.43509e-05,1.43509e-05
16,51.3486,1.22164,2.47909,1.62534,0.77697,0.65,0.87861,0.62307,1.67213,1.12962,1.3726,1.51993e-05,1.51993e-05,1.51993e-05
17,54.1483,0.82352,1.82877,1.18149,0.76847,0.65,0.87331,0.62663,1.67176,1.13844,1.37504,1.60241e-05,1.60241e-05,1.60241e-05
18,56.7902,1.14746,1.57238,1.3603,0.76847,0.65,0.87331,0.62663,1.67176,1.13844,1.37504,1.68253e-05,1.68253e-05,1.68253e-05
19,60.3567,0.97431,1.9408,1.13787,0.76288,0.65,0.86221,0.61559,1.68205,1.17913,1.38598,1.7603e-05,1.7603e-05,1.7603e-05
20,64.5923,0.86194,1.50539,1.18933,0.76288,0.65,0.86221,0.61559,1.68205,1.17913,1.38598,1.83571e-05,1.83571e-05,1.83571e-05
21,67.9908,1.26887,2.58419,1.68093,0.75783,0.65,0.85518,0.61429,1.70138,1.21371,1.39783,1.90876e-05,1.90876e-05,1.90876e-05
22,70.9899,1.07303,2.35934,1.5055,0.75783,0.65,0.85518,0.61429,1.70138,1.21371,1.39783,1.97946e-05,1.97946e-05,1.97946e-05
23,74.4092,1.04403,1.8887,1.47019,0.7334,0.65,0.85526,0.6193,1.69404,1.23124,1.39025,2.0478e-05,2.0478e-05,2.0478e-05
24,77.0684,1.05935,2.20533,1.49053,0.7334,0.65,0.85526,0.6193,1.69404,1.23124,1.39025,2.11379e-05,2.11379e-05,2.11379e-05
25,80.2436,0.85467,1.4819,1.22195,0.70576,0.6723,0.85556,0.61089,1.71261,1.28385,1.40332,2.17741e-05,2.17741e-05,2.17741e-05
26,82.8337,1.13035,1.84479,1.44801,0.70576,0.6723,0.85556,0.61089,1.71261,1.28385,1.40332,2.23869e-05,2.23869e-05,2.23869e-05
27,86.16,0.90988,1.74939,1.40022,0.69307,0.67683,0.85599,0.61129,1.71864,1.32011,1.40509,2.2976e-05,2.2976e-05,2.2976e-05
28,88.9615,0.81399,1.26359,1.15617,0.69307,0.67683,0.85599,0.61129,1.71864,1.32011,1.40509,2.35417e-05,2.35417e-05,2.35417e-05
29,91.6771,0.99513,1.51666,1.27471,0.68721,0.67856,0.85533,0.60864,1.70098,1.32331,1.3936,2.40837e-05,2.40837e-05,2.40837e-05
30,95.2165,1.28798,2.33646,1.62368,0.68721,0.67856,0.85533,0.60864,1.70098,1.32331,1.3936,2.46022e-05,2.46022e-05,2.46022e-05
31,98.6821,1.01182,1.441,1.32514,0.67264,0.66667,0.85353,0.6107,1.71742,1.36028,1.40593,2.50971e-05,2.50971e-05,2.50971e-05
32,101.966,0.85908,1.31543,1.23436,0.67264,0.66667,0.85353,0.6107,1.71742,1.36028,1.40593,2.55685e-05,2.55685e-05,2.55685e-05
33,104.699,0.85515,1.30824,1.40201,0.65293,0.7,0.76953,0.53395,1.71062,1.3973,1.40591,2.60163e-05,2.60163e-05,2.60163e-05
34,107.575,1.02804,1.24978,1.29187,0.65293,0.7,0.76953,0.53395,1.71062,1.3973,1.40591,2.64405e-05,2.64405e-05,2.64405e-05
35,110.295,0.89768,2.18017,1.31158,0.65994,0.7,0.76991,0.5187,1.70481,1.42448,1.40092,2.68412e-05,2.68412e-05,2.68412e-05
36,112.786,0.90098,1.54602,1.17575,0.65994,0.7,0.76991,0.5187,1.70481,1.42448,1.40092,2.72183e-05,2.72183e-05,2.72183e-05
37,115.549,0.7642,1.05376,1.15241,0.66589,0.7,0.76976,0.5104,1.69036,1.44679,1.39904,2.75718e-05,2.75718e-05,2.75718e-05
38,118.296,0.48298,0.72797,0.98087,0.66589,0.7,0.76976,0.5104,1.69036,1.44679,1.39904,2.79018e-05,2.79018e-05,2.79018e-05
39,121.122,0.62388,0.90984,1.0053,0.67359,0.69419,0.76946,0.50368,1.66043,1.47922,1.38578,2.82082e-05,2.82082e-05,2.82082e-05
40,124.497,0.80139,0.82495,1.16445,0.67359,0.69419,0.76946,0.50368,1.66043,1.47922,1.38578,2.84911e-05,2.84911e-05,2.84911e-05
41,127.166,0.7297,0.90196,1.04894,0.67196,0.66445,0.74235,0.47928,1.62676,1.50036,1.36945,2.87504e-05,2.87504e-05,2.87504e-05
42,129.695,0.88706,1.91051,1.27037,0.67196,0.66445,0.74235,0.47928,1.62676,1.50036,1.36945,2.89861e-05,2.89861e-05,2.89861e-05
43,132.3,0.8378,1.25138,1.22822,0.66974,0.65,0.72537,0.45138,1.66062,1.56826,1.3941,2.91983e-05,2.91983e-05,2.91983e-05
44,134.932,1.05219,0.97247,1.43547,0.66974,0.65,0.72537,0.45138,1.66062,1.56826,1.3941,2.93869e-05,2.93869e-05,2.93869e-05
45,137.579,0.63146,0.92242,0.99879,0.68415,0.65,0.70748,0.43702,1.65677,1.57787,1.39624,2.9552e-05,2.9552e-05,2.9552e-05
46,140.13,0.79346,1.00198,1.20924,0.68415,0.65,0.70748,0.43702,1.65677,1.57787,1.39624,2.96935e-05,2.96935e-05,2.96935e-05
47,142.975,0.8108,1.44607,1.31146,0.70985,0.65,0.69898,0.43183,1.6574,1.62558,1.40149,2.98114e-05,2.98114e-05,2.98114e-05
48,145.547,0.85854,1.62185,1.20552,0.70985,0.65,0.69898,0.43183,1.6574,1.62558,1.40149,2.99058e-05,2.99058e-05,2.99058e-05
